no,name,score
202610001,클라우드_1,1
202610002,데이터베이스_2,3
202610003,데이터베이스_3,3
202610004,운영체제_4,2
202610005,자료구조_5,1
202610006,보안_6,2
202610007,보안_7,2
202610008,클라우드_8,3
202610009,인공지능_9,1
202610010,알고리즘_10,3
202610011,데이터베이스_11,3
202610012,웹프로그래밍_12,3
202610013,데이터베이스_13,2
202610014,웹프로그래밍_14,1
202610015,머신러닝_15,2
202610016,보안_16,1
202610017,클라우드_17,3
202610018,보안_18,3
202610019,클라우드_19,2
202610020,알고리즘_20,1
202610021,알고리즘_21,3
202610022,인공지능_22,2
202610023,네트워크_23,3
202610024,웹프로그래밍_24,2
202610025,머신러닝_25,1
202610026,머신러닝_26,3
202610027,클라우드_27,2
202610028,운영체제_28,3
202610029,보안_29,2
202610030,머신러닝_30,3
