course_no,student_no,grade
202610018,20260180,D0
202610001,20260027,A+
202610029,20260183,A0
202610029,20260075,C0
202610002,20260175,D0
202610027,20260143,B0
202610027,20260015,B0
202610027,20260046,D+
202610025,20260144,F
202610002,20260123,F
202610019,20260101,A0
202610022,20260060,A+
202610023,20260062,C0
202610002,20260150,D0
202610024,20260057,F
202610018,20260067,F
202610008,20260015,D0
202610022,20260008,D+
202610013,20260109,F
202610017,20260082,F
202610014,20260096,B0
202610008,20260124,A0
202610015,20260006,F
202610024,20260053,D0
202610002,20260017,A0
202610029,20260076,B+
202610020,20260005,F
202610021,20260038,C+
202610007,20260054,D+
202610025,20260072,A+
202610026,20260096,D0
202610019,20260023,B+
202610003,20260006,B+
202610030,20260151,C+
202610026,20260077,D0
202610004,20260035,C0
202610018,20260148,A0
202610014,20260041,D0
202610028,20260041,C0
202610019,20260010,C0
202610028,20260143,A+
202610029,20260020,F
202610014,20260004,A+
202610019,20260002,D0
202610013,20260136,B+
202610027,20260019,A+
202610023,20260018,D+
202610029,20260011,C+
202610012,20260164,F
202610003,20260200,A0
202610020,20260188,B0
202610023,20260031,D0
202610008,20260192,B+
202610018,20260006,A+
202610014,20260159,C+
202610016,20260124,D0
202610012,20260152,D0
202610026,20260002,B+
202610025,20260195,F
202610028,20260045,D+
202610002,20260116,B+
202610009,20260064,D0
202610019,20260197,D0
202610025,20260037,F
202610016,20260076,B0
202610012,20260075,B+
202610029,20260092,B+
202610009,20260114,B0
202610013,20260108,B+
202610001,20260117,C+
202610021,20260153,D+
202610008,20260169,A0
202610008,20260084,F
202610012,20260122,D0
202610026,20260020,A0
202610030,20260030,C+
202610017,20260125,B0
202610019,20260199,C+
202610015,20260137,C+
202610024,20260021,C+
202610003,20260166,C0
202610029,20260114,D+
202610009,20260070,D+
202610012,20260184,B0
202610008,20260113,B+
202610020,20260092,A+
202610018,20260145,C+
202610020,20260154,D+
202610019,20260006,D+
202610007,20260139,A+
202610002,20260058,C+
202610002,20260043,C+
202610021,20260138,B0
202610022,20260112,C+
202610030,20260107,D+
202610013,20260056,F
202610014,20260027,D0
202610021,20260134,B+
202610010,20260054,F
202610011,20260064,B+
