no,name,score
202610001,클라우드_1,2
202610002,보안_2,3
202610003,보안_3,1
202610004,운영체제_4,1
202610005,운영체제_5,2
202610006,클라우드_6,1
202610007,클라우드_7,3
202610008,머신러닝_8,2
202610009,운영체제_9,2
202610010,웹프로그래밍_10,1
202610011,보안_11,1
202610012,인공지능_12,2
202610013,인공지능_13,3
202610014,자료구조_14,3
202610015,웹프로그래밍_15,1
202610016,인공지능_16,1
202610017,웹프로그래밍_17,1
202610018,웹프로그래밍_18,1
202610019,인공지능_19,3
202610020,네트워크_20,3
202610021,웹프로그래밍_21,1
202610022,네트워크_22,1
202610023,데이터베이스_23,2
202610024,자료구조_24,1
202610025,웹프로그래밍_25,2
202610026,자료구조_26,3
202610027,머신러닝_27,2
202610028,머신러닝_28,3
202610029,운영체제_29,2
202610030,알고리즘_30,1
