course_no,student_no,grade
202610007,20260081,C+
202610007,20260022,C0
202610006,20260069,C+
202610019,20260016,A0
202610001,20260160,A+
202610001,20260085,A0
202610022,20260136,B0
202610004,20260167,A0
202610023,20260184,D+
202610014,20260043,F
202610016,20260141,F
202610017,20260196,A0
202610002,20260162,F
202610024,20260178,C+
202610006,20260133,A0
202610002,20260038,B0
202610030,20260009,D+
202610015,20260003,C+
202610006,20260102,C0
202610027,20260068,C+
202610023,20260024,C0
202610024,20260192,F
202610015,20260153,C+
202610011,20260192,B+
202610003,20260062,B+
202610028,20260132,B+
202610010,20260189,F
202610004,20260190,B+
202610028,20260105,B0
202610025,20260184,C0
202610006,20260166,C0
202610028,20260066,F
202610010,20260066,C0
202610022,20260057,F
202610023,20260164,C+
202610024,20260148,C0
202610018,20260045,D+
202610028,20260072,A+
202610009,20260024,F
202610028,20260173,C+
202610019,20260192,B0
202610010,20260093,C+
202610011,20260142,B+
202610025,20260033,A0
202610027,20260165,C0
202610005,20260198,A0
202610018,20260170,F
202610019,20260052,F
202610006,20260094,A+
202610001,20260121,C+
202610008,20260153,B0
202610002,20260145,F
202610014,20260182,B+
202610003,20260078,F
202610008,20260098,D+
202610006,20260074,D+
202610028,20260024,B0
202610029,20260042,A0
202610003,20260014,D+
202610021,20260182,D0
202610015,20260030,C0
202610027,20260188,D0
202610022,20260157,B+
202610016,20260016,D0
202610022,20260123,B+
202610005,20260024,D0
202610013,20260116,F
202610026,20260016,C0
202610015,20260135,B0
202610007,20260192,F
202610026,20260068,A+
202610013,20260083,D+
202610007,20260108,C0
202610020,20260087,D0
202610007,20260183,D0
202610023,20260085,D+
202610010,20260045,A0
202610021,20260186,D0
202610005,20260166,C+
202610002,20260093,A+
202610029,20260150,D+
202610023,20260191,C+
202610016,20260103,B0
202610010,20260042,D0
202610014,20260156,B+
202610025,20260130,B+
202610030,20260008,D0
202610020,20260003,D0
202610013,20260142,F
202610018,20260102,F
202610006,20260078,B+
202610011,20260010,B+
202610018,20260017,D+
202610014,20260012,A0
202610020,20260101,C+
202610006,20260071,D0
202610012,20260086,F
202610010,20260071,F
202610010,20260035,F
202610024,20260091,A+
