order_no,menu_id,quantity
377,10,4
453,34,1
428,32,4
387,12,1
440,37,2
243,23,3
453,1,3
269,21,5
90,13,3
127,6,2
72,2,4
268,25,2
7,24,2
61,33,3
271,25,1
99,20,2
278,24,5
219,15,5
292,30,4
406,25,3
411,9,3
211,3,1
231,17,4
78,3,5
499,2,2
362,35,2
131,37,2
373,30,3
220,4,5
480,17,4
272,23,4
334,4,2
221,20,4
436,28,5
31,24,2
258,40,3
173,42,3
34,28,4
469,31,1
331,31,3
125,37,5
121,34,3
484,32,3
72,34,5
58,35,1
446,22,2
190,14,4
190,14,2
417,27,3
55,16,5
365,19,1
267,35,2
206,1,3
343,12,1
42,17,4
237,3,3
254,31,4
121,15,3
369,37,2
370,4,3
346,37,4
344,10,3
476,20,3
258,23,2
207,5,1
328,8,1
328,17,2
361,14,5
330,12,3
192,21,4
257,33,1
436,13,5
388,32,2
207,4,3
351,18,3
452,21,2
401,5,4
447,30,4
141,26,1
353,20,4
149,27,5
417,21,4
483,13,4
112,17,4
15,21,3
443,25,4
353,29,5
52,29,5
325,15,3
488,35,3
289,34,5
407,33,2
166,1,2
45,28,4
199,8,1
386,9,2
366,20,1
285,4,1
55,20,2
129,11,3
115,6,2
209,42,1
370,23,5
56,28,4
94,14,1
83,19,5
114,34,4
422,38,4
432,15,5
279,26,1
12,5,2
345,3,4
184,20,5
426,9,3
109,6,4
444,29,3
21,34,2
115,15,2
45,41,2
208,30,4
226,18,5
393,22,5
8,36,3
361,33,1
72,14,3
419,29,2
423,2,1
240,39,4
391,37,4
75,15,2
90,20,3
55,22,2
58,15,4
200,14,3
382,17,1
85,33,5
445,22,1
325,15,3
419,16,3
139,5,5
42,33,3
368,17,5
485,14,2
454,25,5
244,35,1
296,28,5
468,9,2
399,24,1
146,32,2
99,10,4
257,2,1
484,3,3
476,37,3
274,39,4
218,30,3
354,1,4
409,41,4
51,33,1
82,34,1
265,35,5
272,38,5
422,2,4
143,23,5
114,7,5
4,13,5
193,31,2
12,35,1
34,37,2
260,32,2
432,37,2
112,26,1
247,15,4
125,33,4
50,24,2
141,20,4
182,41,3
4,17,3
266,41,3
27,24,4
399,11,1
466,13,4
181,25,1
150,6,2
486,36,4
359,40,5
123,13,4
31,1,1
333,16,5
168,34,5
127,39,2
130,37,5
372,18,3
202,4,4
74,17,5
484,28,1
266,7,2
3,36,1
15,8,1
342,26,2
378,27,1
382,10,2
158,10,2
98,32,2
104,41,5
299,34,2
481,1,1
431,40,2
380,4,5
448,4,4
453,37,1
321,16,1
158,5,1
158,21,3
248,4,3
449,36,2
225,37,4
163,31,3
11,18,1
279,3,4
119,27,4
135,14,1
16,18,1
280,29,1
347,12,5
439,41,4
87,10,4
462,19,2
339,2,5
10,4,1
312,40,1
363,39,2
57,1,4
417,22,2
346,35,4
341,4,4
415,25,2
405,34,2
305,4,1
11,32,1
213,38,1
62,19,4
9,25,5
331,6,1
139,10,1
433,28,2
371,13,2
315,17,1
460,31,4
356,9,1
454,12,3
92,21,2
425,8,4
74,1,2
36,23,4
499,37,1
34,36,3
91,35,3
423,1,2
195,18,1
269,26,5
92,42,5
158,40,3
98,24,2
169,28,2
40,40,5
397,29,4
41,28,5
98,28,1
392,32,3
141,18,2
156,30,5
155,32,5
176,41,3
14,26,2
392,38,1
310,16,5
350,34,2
371,42,1
103,36,1
93,25,2
255,19,2
361,2,3
6,31,4
419,24,2
356,11,1
458,21,4
422,22,4
172,40,3
46,30,4
324,1,5
493,37,5
78,18,1
481,20,2
95,8,4
151,4,1
76,5,5
171,15,1
167,6,4
464,19,3
138,5,4
269,13,5
134,33,3
180,17,1
187,3,4
254,11,3
267,22,1
215,29,1
201,26,2
163,20,4
485,11,2
299,24,2
442,23,5
272,7,4
472,10,4
380,20,3
436,39,2
144,25,4
363,26,4
484,35,4
385,3,5
137,35,5
3,13,3
97,10,2
426,22,3
349,5,4
33,4,4
250,19,4
213,1,4
484,19,4
65,3,1
443,13,1
111,30,3
60,1,5
444,7,3
37,16,4
133,20,2
203,28,5
16,41,2
337,4,2
353,33,5
14,8,1
231,28,1
452,21,4
325,21,5
53,2,2
139,39,2
349,32,1
367,5,4
421,30,5
88,33,4
403,17,3
256,19,5
73,22,1
333,4,4
253,16,4
318,9,3
357,29,3
289,33,2
102,27,2
102,28,3
119,15,5
246,2,2
288,27,5
37,30,4
341,40,3
469,10,1
214,9,5
323,3,3
183,3,2
180,21,5
116,23,4
229,33,2
312,28,4
101,12,5
41,18,4
207,17,4
371,26,4
248,8,4
340,23,4
467,22,4
334,34,1
483,5,2
311,3,3
15,38,5
270,37,3
36,4,5
420,5,4
456,29,2
71,10,3
163,35,5
394,11,4
454,15,5
381,36,5
258,1,3
376,4,2
190,42,3
458,22,5
462,40,1
222,15,3
15,4,2
315,15,5
408,25,1
109,22,3
61,18,5
181,18,5
30,1,2
137,14,5
81,13,3
273,20,4
413,34,2
435,2,5
79,40,2
243,26,2
448,10,3
446,8,5
396,41,1
491,9,3
126,29,2
262,34,5
160,16,5
365,35,4
424,34,4
60,17,2
303,30,5
33,22,5
297,23,3
362,20,3
306,23,3
12,37,1
340,32,5
440,29,5
363,36,5
37,5,1
384,40,4
222,7,5
21,23,2
391,24,2
235,40,2
159,24,1
237,34,1
144,15,2
114,33,5
413,10,2
311,12,1
455,23,5
12,31,4
83,24,4
251,11,5
271,33,3
238,26,3
404,28,3
248,19,4
97,29,5
488,7,1
98,29,2
471,26,1
423,32,1
94,41,5
161,38,4
411,11,5
399,23,3
295,27,2
66,14,2
395,22,4
134,9,5
321,24,1
155,20,2
175,42,3
215,20,3
221,7,3
250,33,5
452,27,1
399,34,2
129,42,5
416,1,1
121,31,3
350,26,2
74,27,5
41,38,5
468,34,3
332,37,2
285,30,1
104,2,4
14,26,5
233,7,3
289,31,4
237,28,3
87,42,3
169,5,5
243,25,5
245,2,5
128,6,2
81,19,2
123,9,1
468,42,3
149,28,1
317,37,1
86,30,2
411,4,5
77,35,1
151,16,2
136,13,4
339,8,4
419,9,3
414,34,2
278,21,1
242,24,3
153,16,1
319,20,3
162,38,4
348,19,2
428,7,4
404,42,5
16,36,3
228,32,2
231,8,3
472,16,5
150,27,1
46,17,3
417,33,2
189,26,1
387,34,2
341,39,3
99,1,2
114,36,4
304,9,5
484,40,2
408,33,5
228,36,4
290,9,2
7,20,1
299,13,2
195,19,4
93,1,5
382,33,2
2,4,4
344,5,5
231,1,5
141,27,2
472,34,4
118,9,1
414,11,2
359,39,3
485,33,1
443,34,4
353,33,3
96,19,5
385,27,4
314,19,4
284,8,3
267,38,3
225,19,5
282,22,1
398,9,3
372,33,2
43,28,2
363,36,4
480,23,3
292,34,5
378,37,3
283,12,4
267,7,5
407,41,3
446,22,1
219,16,3
493,28,3
386,1,1
176,35,5
165,39,3
33,40,1
470,22,5
426,29,5
179,25,5
403,23,1
7,22,3
386,7,1
246,16,2
281,36,3
166,39,3
262,21,5
143,18,2
201,39,4
216,7,2
52,19,3
474,3,5
203,37,3
168,33,1
447,5,4
193,40,2
193,16,2
393,28,1
234,20,2
452,32,4
188,7,3
253,42,3
189,2,2
377,28,5
440,35,3
151,13,3
2,5,3
53,27,1
366,17,3
192,39,3
490,9,1
27,1,1
484,18,4
407,10,4
192,18,2
396,25,3
199,35,2
348,27,2
321,35,1
185,27,4
103,34,2
437,38,3
220,17,5
328,11,5
472,40,4
83,28,1
189,27,2
384,8,4
357,37,4
20,36,4
282,18,2
94,4,1
207,31,1
145,12,4
499,3,3
143,36,5
453,18,3
14,34,2
25,21,5
478,26,1
392,12,1
221,25,5
299,3,2
190,4,1
290,39,1
246,33,1
369,15,1
246,7,3
248,31,4
436,12,1
486,28,3
423,15,2
224,13,3
394,12,1
132,42,3
81,38,5
500,19,4
94,32,3
233,2,1
340,33,2
331,10,2
292,9,5
122,25,1
386,9,4
118,13,3
454,38,1
329,29,5
239,2,1
275,39,4
89,12,3
462,17,3
247,11,5
202,7,4
399,41,5
420,5,5
104,26,3
151,37,1
256,38,5
329,23,2
480,5,5
473,14,5
453,27,5
351,28,3
402,4,2
188,33,4
120,23,5
227,20,2
48,38,5
56,28,1
288,5,2
151,5,5
417,15,3
11,24,4
102,41,3
407,34,4
391,16,2
148,15,4
54,19,2
166,4,1
360,8,5
16,40,5
182,7,3
170,33,2
333,29,5
23,9,3
211,16,1
434,39,2
132,12,5
84,15,5
46,40,2
444,13,3
136,10,4
172,39,4
355,7,1
283,8,2
370,18,5
443,36,4
429,7,4
47,28,5
455,40,2
174,36,5
23,32,1
345,15,3
481,6,2
33,35,3
376,6,3
337,38,1
30,27,2
257,26,4
85,29,5
367,27,2
284,35,2
210,26,1
43,38,5
342,14,2
233,5,1
293,39,1
312,15,5
500,4,1
136,9,2
359,28,1
401,18,4
328,10,1
335,21,4
410,25,2
240,12,3
473,41,1
27,17,2
446,41,5
224,6,5
160,4,3
136,16,3
5,34,2
58,40,3
210,30,5
314,12,3
386,33,4
293,29,2
235,36,3
365,41,4
488,34,4
27,36,1
127,11,2
329,14,3
358,3,3
49,32,5
388,32,4
467,16,5
491,22,3
169,8,1
423,41,2
114,9,4
42,16,5
398,38,3
200,15,5
10,35,4
331,26,1
384,4,2
379,38,2
88,11,2
71,10,2
312,13,1
411,3,2
231,3,1
247,27,2
313,39,2
283,21,3
229,30,2
471,12,3
319,27,3
462,23,5
73,30,4
120,36,4
209,9,5
141,32,4
413,39,3
66,22,3
496,20,3
388,27,1
234,35,2
270,23,4
52,1,5
380,27,1
416,4,5
120,1,5
451,25,4
76,9,1
206,29,4
179,30,2
119,21,2
13,24,2
35,28,5
230,37,1
433,21,4
227,36,4
263,12,5
166,15,1
311,9,5
80,2,1
221,4,2
153,20,3
434,4,3
141,3,3
418,31,4
338,2,5
117,4,2
241,39,1
161,4,3
500,12,3
431,28,3
109,19,5
145,14,1
103,30,2
430,32,3
427,37,5
176,29,1
262,31,3
50,37,1
20,10,3
410,37,2
392,31,4
348,41,2
316,38,3
13,38,3
25,40,2
379,29,4
352,5,5
129,33,4
26,28,2
283,32,1
274,13,4
444,41,3
270,14,2
184,1,1
456,5,5
48,26,4
95,21,2
455,23,5
26,13,1
110,13,4
