id,name,price,status,recommand,category_id
1,치킨 가라아게,30000,1,1,1
2,감자튀김,21000,1,1,1
3,새우튀김,15000,1,1,1
4,모듬튀김,27000,1,0,1
5,오징어링,15000,1,0,1
6,찹스테이크,20000,1,0,2
7,해물짬뽕탕,26000,1,0,2
8,감바스,26000,1,1,2
9,제육볶음,19000,1,0,2
10,골뱅이소면,28000,1,1,2
11,나베,19000,1,0,2
12,떡볶이,17000,1,0,2
13,닭발,18000,1,0,2
14,훈제오리,27000,1,0,2
15,카프레제,23000,1,0,2
16,공기밥,8000,1,0,3
17,계란찜,9000,1,0,3
18,누룽지,4000,1,0,3
19,황도,8000,1,0,3
20,라면,6000,1,0,3
21,치즈스틱,9000,1,0,3
22,파인애플샤베트,3000,1,0,3
23,소주,8000,1,0,4
24,맥주,7000,1,0,4
25,생맥주 500cc,9000,1,0,4
26,하이볼,10000,1,0,4
27,청하,3000,1,0,4
28,막걸리,3000,1,0,4
29,화요,5000,1,0,4
30,일품진로,7000,1,0,4
31,레드와인,4000,1,0,4
32,잭다니엘,8000,1,0,4
33,콜라,8000,1,0,5
34,사이다,3000,1,0,5
35,제로콜라,4000,1,0,5
36,웰치스,9000,1,0,5
37,오렌지주스,4000,1,0,5
38,에이드,8000,1,1,5
39,토닉워터,7000,1,0,5
40,우롱차,8000,1,0,5
41,녹차,4000,1,0,5
42,탄산수,9000,1,0,5
